"Source","Target","Weight"
"emergency & me (speedy ortiz)","the sunday (speedy ortiz)","9"
"the sunday (speedy ortiz)","brace thee (speedy ortiz)","9"
"brace thee (speedy ortiz)","ghostwriter (speedy ortiz)","9"
"calling you out (charly bliss)","nineteen (charly bliss)","9"
"champ (girlpuppy)","in my eyes (girlpuppy)","9"
"in my eyes (girlpuppy)","windows (girlpuppy)","9"
"thumbtack (blondshell)","t&a (blondshell)","9"
"t&a (blondshell)","arms (blondshell)","9"
"arms (blondshell)","what's fair (blondshell)","9"
"rust (paper lady)","amaranth (paper lady)","9"
"amaranth (paper lady)","silt (paper lady)","9"
"silt (paper lady)","i am ribbon (paper lady)","9"
"i am ribbon (paper lady)","joe modern (paper lady)","9"
"joe modern (paper lady)","mutt (paper lady)","9"
"mutt (paper lady)","static (paper lady)","9"
"static (paper lady)","you are the sun (paper lady)","9"
"lava (ava naomi)","flora (ava naomi)","8"
"flora (ava naomi)","lava (ava naomi)","8"
"lava (ava naomi)","if only words were weapons (ava naomi)","8"
"night sky (chvrches)","science/visions (chvrches)","8"
"warped (ava naomi)","if only words were weapons (ava naomi)","8"
"everytime you go (broods)","dust (broods)","8"
"if only words were weapons (ava naomi)","lava (ava naomi)","8"
"intro (snail mail)","pristine (snail mail)","8"
"cream (mannequin pussy)","fear/+/desire (mannequin pussy)","8"
"night swimming (soccer mommy)","crawling in my skin (soccer mommy)","8"
"up the walls (soccer mommy)","lucy (soccer mommy)","8"
"dead of winter (jackie hayes)","eye 2 eye (jackie hayes)","8"
"eye 2 eye (jackie hayes)","dead end (jackie hayes)","8"
"dead end (jackie hayes)","headache (jackie hayes)","8"
"goodbye world, hello space island (broods)","piece of my mind (broods)","8"
"heartbreak (broods)","distance and drugs (broods)","8"
"distance and drugs (broods)","i keep (broods)","8"
"i keep (broods)","like a woman (broods)","8"
"like a woman (broods)","gaslight (broods)","8"
"gaslight (broods)","days are passing (broods)","8"
"days are passing (broods)","alien (broods)","8"
"alien (broods)","if you fall in love (broods)","8"
"bitter (family reunion)","cavity (feat. tombo) (family reunion)","8"
"cavity (feat. tombo) (family reunion)","twosday (family reunion)","8"
"freequent letdown (illuminati hotties)","melatonezone (illuminati hotties)","8"
"abigail (frankie cosmos)","aftershook (frankie cosmos)","8"
"aftershook (frankie cosmos)","fruit stand (frankie cosmos)","8"
"fruit stand (frankie cosmos)","magnetic personality (frankie cosmos)","8"
"magnetic personality (frankie cosmos)","wayne (frankie cosmos)","8"
"wayne (frankie cosmos)","sky magnet (frankie cosmos)","8"
"sky magnet (frankie cosmos)","a work call (frankie cosmos)","8"
"kim cattrall (speedy ortiz)","you s02 (speedy ortiz)","8"
"ballad of y & s (speedy ortiz)","kitty (speedy ortiz)","8"
"kitty (speedy ortiz)","who's afraid of the bath (speedy ortiz)","8"
"who's afraid of the bath (speedy ortiz)","ranch vs. ranch (speedy ortiz)","8"
"ranch vs. ranch (speedy ortiz)","emergency & me (speedy ortiz)","8"
"dangerous (blondshell)","it wasn't love (blondshell)","8"
"conversation starter (odie leigh)","no doubt (odie leigh)","8"
"downhill (pom pom squad)","spinning (pom pom squad)","8"
"windows (girlpuppy)","since april (girlpuppy)","8"
"since april (girlpuppy)","beaches (girlpuppy)","8"
"beaches (girlpuppy)","i was her too (girlpuppy)","8"
"i was her too (girlpuppy)","for you two (girlpuppy)","8"
"for you two (girlpuppy)","i think i did (girlpuppy)","8"
"what's fair (blondshell)","two times (blondshell)","8"
"two times (blondshell)","event of a fire (blondshell)","8"
"23's a baby (blondshell)","change (blondshell)","8"
"toy (blondshell)","he wants me (blondshell)","8"
"green light (lorde)","sober (lorde)","7"
"if only words were weapons (ava naomi)","warped (ava naomi)","7"
"be your own 3am (adult mom)","survival (adult mom)","7"
"science/visions (chvrches)","lungs (chvrches)","7"
"lungs (chvrches)","by the throat (chvrches)","7"
"by the throat (chvrches)","you caught the light (chvrches)","7"
"everything goes (wow) (broods)","life after (broods)","7"
"drink too much (g flip)","bring me home (g flip)","7"
"if only words were weapons (ava naomi)","flora (ava naomi)","7"
"pristine (snail mail)","speaking terms (snail mail)","7"
"deep sea (snail mail)","anytime (snail mail)","7"
"thinning (snail mail)","habit (snail mail)","7"
"slug (snail mail)","stick (snail mail)","7"
"drunk ii (mannequin pussy)","cream (mannequin pussy)","7"
"fear/+/desire (mannequin pussy)","drunk i (mannequin pussy)","7"
"yellow is the color of her eyes (soccer mommy)","up the walls (soccer mommy)","7"
"lucy (soccer mommy)","stain (soccer mommy)","7"
"love sick (beach bunny)","nice guys (beach bunny)","7"
"collapsed in sunbeams (arlo parks)","hurt (arlo parks)","7"
"hurt (arlo parks)","too good (arlo parks)","7"
"too good (arlo parks)","hope (arlo parks)","7"
"hope (arlo parks)","caroline (arlo parks)","7"
"black dog (arlo parks)","green eyes (arlo parks)","7"
"american river (destroy boys)","methatonin (destroy boys)","7"
"methatonin (destroy boys)","vixen (destroy boys)","7"
"crybaby (destroy boys)","okay (skinny girl diet)","7"
"denial (mannequin pussy)","okay (skinny girl diet)","7"
"okay (skinny girl diet)","methatonin (destroy boys)","7"
"omg (jackie hayes)","eye 2 eye (jackie hayes)","7"
"omg (jackie hayes)","big bang (cherry glazerr)","7"
"vision (family reunion)","zoned out (family reunion)","7"
"zoned out (family reunion)","omg (family reunion)","7"
"omg (family reunion)","vacation (family reunion)","7"
"vacation (family reunion)","heaven (family reunion)","7"
"heaven (family reunion)","bitter (family reunion)","7"
"twosday (family reunion)","summer (family reunion)","7"
"summer (family reunion)","missed connections (family reunion)","7"
"i don't recognise you (newdad)","slowly (newdad)","7"
"hey wanhaka (king stingray)","get me out (king stingray)","7"
"ladybird (newdad)","blue (newdad)","7"
"alarm (sylvan esso)","coming back to you (sylvan esso)","7"
"free ppls (illuminati hotties)","freequent letdown (illuminati hotties)","7"
"wish it was (jackie hayes)","bite me (jackie hayes)","7"
"new year (kynsy)","simple life (kynsy)","7"
"simple life (kynsy)","thumb wars (kynsy)","7"
"thumb wars (kynsy)","love of your life (kynsy)","7"
"a work call (frankie cosmos)","empty head (frankie cosmos)","7"
"empty head (frankie cosmos)","fragments (frankie cosmos)","7"
"fragments (frankie cosmos)","prolonging babyhood (frankie cosmos)","7"
"prolonging babyhood (frankie cosmos)","one year stand (frankie cosmos)","7"
"one year stand (frankie cosmos)","f.o.o.f. (frankie cosmos)","7"
"f.o.o.f. (frankie cosmos)","street view (frankie cosmos)","7"
"street view (frankie cosmos)","spare the guitar (frankie cosmos)","7"
"spare the guitar (frankie cosmos)","heed the call (frankie cosmos)","7"
"hurt (ada lea)","everything everything (indigo sparke)","7"
"damn (ada lea)","hurt (ada lea)","7"
"in ar gcroithe go deo (fontaines d.c.)","big shot (fontaines d.c.)","7"
"my blood runs through this land (black belt eagle scout)","sedna (black belt eagle scout)","7"
"sedna (black belt eagle scout)","salmon stinta (black belt eagle scout)","7"
"let go (newdad)","angel (newdad)","7"
"street rat (blondshell)","cartoon earthquake (blondshell)","7"
"no one loves you like me (jacklen ro)","backyard (jacklen ro)","7"
"backyard (jacklen ro)","drives me crazy (jacklen ro)","7"
"drives me crazy (jacklen ro)","up to you (jacklen ro)","7"
"either way (odie leigh)","no doubt (odie leigh)","7"
"already (on my mind) (odie leigh)","party trick (odie leigh)","7"
"party trick (odie leigh)","conversation starter (odie leigh)","7"
"no doubt (odie leigh)","finer things (odie leigh)","7"
"finer things (odie leigh)","either way (odie leigh)","7"
"either way (odie leigh)","common denominator (odie leigh)","7"
"common denominator (odie leigh)","idiom (odie leigh)","7"
"idiom (odie leigh)","my name on a t-shirt (odie leigh)","7"
"alexandra (the army, the navy)","persimmon (the army, the navy)","7"
"tragic (charly bliss)","calling you out (charly bliss)","7"
"calling you out (charly bliss)","back there now (charly bliss)","7"
"back there now (charly bliss)","nineteen (charly bliss)","7"
"nineteen (charly bliss)","in your bed (charly bliss)","7"
"in your bed (charly bliss)","i'm not dead (charly bliss)","7"
"i'm not dead (charly bliss)","how do you do it (charly bliss)","7"
"here comes the darkness (charly bliss)","waiting for you (charly bliss)","7"
"waiting for you (charly bliss)","easy to love you (charly bliss)","7"
"easy to love you (charly bliss)","last first kiss (charly bliss)","7"
"villain (pom pom squad)","running from myself (pom pom squad)","7"
"running from myself (pom pom squad)","messages (pom pom squad)","7"
"messages (pom pom squad)","montauk (pom pom squad)","7"
"i will be here (trophy wife)","keep it (trophy wife)","7"
"swamp song (trophy wife)","spit (trophy wife)","7"
"spit (trophy wife)","pedestal (trophy wife)","7"
"pedestal (trophy wife)","kicked (trophy wife)","7"
"kicked (trophy wife)","again (trophy wife)","7"
"hole in a frame (samia)","pants (samia)","7"
"intro (girlpuppy)","i just do! (girlpuppy)","7"
"event of a fire (blondshell)","23's a baby (blondshell)","7"
"change (blondshell)","toy (blondshell)","7"
"he wants me (blondshell)","man (blondshell)","7"
"man (blondshell)","model rockets (blondshell)","7"
"sober (lorde)","homemade dynamite (lorde)","6"
"flora (ava naomi)","if only words were weapons (ava naomi)","6"
"if only words were weapons (ava naomi)","princess (ava naomi)","6"
"princess (ava naomi)","flora (ava naomi)","6"
"bring me home (g flip)","about you (g flip)","6"
"killing my time (g flip)","about you (g flip)","6"
"flora (ava naomi)","princess (ava naomi)","6"
"full control (snail mail)","deep sea (snail mail)","6"
"crocodile (breakfast muff)","you're not written in my stars (breakfast muff)","6"
"habit (snail mail)","static buzz (snail mail)","6"
"mesa (cayetana)","footscray station (camp cope)","6"
"stick (snail mail)","let's find an out (snail mail)","6"
"feed (charly bliss)","supermoon (charly bliss)","6"
"supermoon (charly bliss)","heaven (charly bliss)","6"
"heaven (charly bliss)","slingshot (charly bliss)","6"
"headache (jackie hayes)","dead of winter (jackie hayes)","6"
"drunk i (mannequin pussy)","high horse (mannequin pussy)","6"
"footscray station (camp cope)","trails (cayetana)","6"
"good girls (don't get used) (beach bunny)","love sick (beach bunny)","6"
"nice guys (beach bunny)","blame game (beach bunny)","6"
"rockstar (mallrat)","charlie (mallrat)","6"
"green eyes (arlo parks)","just go (arlo parks)","6"
"just go (arlo parks)","for violet (arlo parks)","6"
"for violet (arlo parks)","eugene (arlo parks)","6"
"eugene (arlo parks)","bluish (arlo parks)","6"
"bluish (arlo parks)","portra 400 (arlo parks)","6"
"19 (jackie hayes)","belong (jackie hayes)","6"
"belong (jackie hayes)","dead of winter (jackie hayes)","6"
"piedmont (destroy boys)","crybaby (destroy boys)","6"
"fences (destroy boys)","crybaby (destroy boys)","6"
"denial (mannequin pussy)","patience (mannequin pussy)","6"
"omg (jackie hayes)","dead end (jackie hayes)","6"
"omg (jackie hayes)","headache (jackie hayes)","6"
"big bang (cherry glazerr)","omg (jackie hayes)","6"
"organon (men i trust)","oh dove (men i trust)","6"
"oh dove (men i trust)","sugar (men i trust)","6"
"sugar (men i trust)","sorbitol (men i trust)","6"
"sorbitol (men i trust)","tree among shrubs (men i trust)","6"
"valentine (snail mail)","pretty (girlpool)","6"
"squaring up (sir chloe)","july (sir chloe)","6"
"july (sir chloe)","animal (sir chloe)","6"
"valentine (snail mail)","ben franklin (snail mail)","6"
"ben franklin (snail mail)","headlock (snail mail)","6"
